chrUn_AAWZ02040322	chr15,40212,chr19,2973
chrUn_AAWZ02040326	chr5,24478
chrUn_AAWZ02040329	chr8,8074
chrUn_AAWZ02036383	chr1,19353,chrUn_random,9463
chrUn_AAWZ02038679	chr6,8936,chr2,7821
chrUn_AAWZ02038674	chr4,89052
chrUn_AAWZ02038675	chr5,33171
chrUn_AAWZ02038671	chr3,29914
chrUn_AAWZ02038074	chr1,38223
chrUn_AAWZ02038075	chr2,13765,chrZ,2214
chrUn_AAWZ02036709	chr2,117242,chr7,26614
chrUn_AAWZ02039572	chr9,20285
chrUn_AAWZ02038079	chr1,15949
chrUn_AAWZ02039071	chr7,44802
chrUn_AAWZ02039077	chr12,38107
chrUn_AAWZ02039076	chr1,35867
chrUn_AAWZ02039075	chr1,13725
chrUn_AAWZ02040281	chr3,36677,chr20,3534
chrUn_AAWZ02039439	chr16,8001,chr1,7888
chrUn_AAWZ02039078	chr1,10482
chrUn_AAWZ02038700	chr21,11415
chrUn_AAWZ02037195	chr21,8694
chrUn_AAWZ02038706	chr16,14620
chrUn_AAWZ02036562	chr1,24511
chrUn_AAWZ02036563	chr28,8842
chrUn_AAWZ02038709	chr24,15120
chrUn_AAWZ02039657	chr2,13150
chrUn_AAWZ02037949	chr28,138635
chrUn_AAWZ02037948	chrUn_random,17569
chrUn_AAWZ02036144	chr3,22993
chrUn_AAWZ02036413	chr2,37775
chrUn_AAWZ02036143	chrUn_random,48296
chrUn_GL344534	chr9,10941
chrUn_AAWZ02037942	chr28,27000
chrUn_AAWZ02040917	chrUn_random,18445
chrUn_AAWZ02038573	chr16,19090
chrUn_GL345122	chr17,20678
chrUn_AAWZ02039257	chrZ,28488
chrUn_GL344603	chr10,16549
chrUn_AAWZ02039255	chr14,14803
chrUn_AAWZ02040214	chr6,7606
chrUn_AAWZ02039252	chr11,29318
chrUn_AAWZ02039251	chr20,16996
chrUn_GL344602	chr17,213807
chrUn_GL344601	chr14,80061
chrUn_AAWZ02039258	chr13,7418
chrUn_AAWZ02037385	chr3,24397
chrUn_GL344600	chr19,24841
chrUn_AAWZ02039571	chrUn_random,45514,chr16,4311
chrUn_GL344537	chr3,169705
chrUn_AAWZ02036894	chr9,53346,chrUn_random,13921
chrUn_GL344607	chr11,63497
chrUn_AAWZ02036897	chr7,37789
chrUn_GL344606	chr3,30289
chrUn_GL344605	chr17,86194,chrUn_random,18874,chr8,5832
chrUn_AAWZ02037543	chrE64,17789,chrUn_random,8002
chrUn_AAWZ02040533	chr20,53059
chrUn_GL344604	chr2,47848
chrUn_AAWZ02033737	chr5,9693
chrUn_GL344128	chr1,169926
chrUn_GL344129	chr11,410299,chr13,14475
chrUn_GL344536	chr3,23075
chrUn_GL344211	chr20,13360
chrUn_GL344122	chr1,10350,chr3,8080
chrUn_GL344123	chr21,203941
chrUn_GL344120	chr4,66465
chrUn_GL344121	chr26,52294
chrUn_GL344126	chr19,261024
chrUn_GL344127	chr7,143874
chrUn_GL344124	chr10,266471
chrUn_GL344125	chr16,89301,chr16_random,3773
chrUn_GL343933	chrUn_random,132216,chr16,49905,chr14,33950,chr28,25831
chrUn_AAWZ02039080	chr16,27784,chrUn_random,4555
chrUn_GL343934	chrUn_random,119856,chr2,40896,chr16,8858,chr18,3859
chrUn_GL343935	chr6,9120,chr21,8498
chrUn_GL343822	chrUn_random,62041,chr1,10566
chrUn_GL343823	chr4,279332
chrUn_GL343820	chr20,626084
chrUn_GL343821	chrUn_random,69661,chr21,16705,chr7,9843
chrUn_GL343826	chr4,495687
chrUn_GL343827	chr14,551336
chrUn_GL343824	chr20,37106,chr3,33259
chrUn_GL343825	chr4,280826
chrUn_AAWZ02036968	chr2,32498,chr1,6762
chrUn_AAWZ02036969	chr7,23303
chrUn_GL343828	chr26,33259,chr5,32946,chrUn_random,16974,chr12,2675
chrUn_GL343829	chr9,206252,chr15,123817
chrUn_AAWZ02038857	chr4,44215
chrUn_AAWZ02038854	chr19,15590
chrUn_AAWZ02038855	chr1,16729
chrUn_GL343938	chr9,57729,chr19,48740,chr11,13337,chr5,10494
chrUn_GL343939	chr9,77953
chrUn_AAWZ02038071	chr1,80355
chrUn_AAWZ02038615	chr1,26063
chrUn_AAWZ02040036	chr7,16662
chrUn_AAWZ02037779	chr27,14206
chrUn_GL343916	chr2,29419,chr5,27434,chr8,10123,chr13,6199,chrUn_random,2072
chrUn_GL343917	chr6,31599
chrUn_GL343914	chr11,344703
chrUn_GL343915	chrUn_random,106403,chr18,22806,chr1,9102,chrE22C19W28_E50C23_random,4652
chrUn_GL343912	chr21,24601,chr22,9165
chrUn_GL343913	chr15,344995
chrUn_GL343910	chr20,28332
chrUn_GL343911	chr17,63949
chrUn_GL344580	chr4,60186
chrUn_GL344582	chrUn_random,106632,chr23,15605
chrUn_GL344585	chr4,121180
chrUn_GL343918	chr2,425131
chrUn_GL343919	chr3,69917,chr1,18016,chrUn_random,14261
chrUn_GL344906	chr17,56535
chrUn_GL344907	chr18,36873
chrUn_GL344900	chr2,12415
chrUn_AAWZ02037033	chr2,56251,chrUn_random,3592,chr20,3376
chrUn_GL344902	chr11,41269
chrUn_GL344903	chr28,14452,chrUn_random,8151
chrUn_AAWZ02037157	chr17,39227
chrUn_GL345059	chr19,64946
chrUn_GL345058	chr20,51649
chrUn_AAWZ02038682	chr12,12144
chrUn_GL345053	chr19,97122
chrUn_GL345052	chr16,8899
chrUn_GL345055	chr1,23529
chrUn_GL345054	chr1,10127
chrUn_AAWZ02035941	chr1,13455,chr7,3818
chrUn_GL344052	chr5,24708,chr3,16443
chrUn_GL344053	chr10,60958
chrUn_GL344050	chr17,86883
chrUn_GL344051	chr14,206843,chr10,65975,chr6,7826
chrUn_GL344056	chrUn_random,10588
chrUn_AAWZ02037768	chr7,15546
chrUn_GL344055	chr9,135439,chr28,36913,chr5,4344
chrUn_GL344058	chr14,69728,chr22,14502
chrUn_GL344059	chr17,244651,chr8,2097
chrUn_AAWZ02037760	chr5,108575
chrUn_AAWZ02040929	chr20,11341
chrUn_AAWZ02040487	chr26,8692
chrUn_AAWZ02040922	chr21,8400
chrUn_AAWZ02040925	chrUn_random,18689
chrUn_AAWZ02039724	chr21,6548
chrUn_AAWZ02040443	chr7,9993
chrUn_AAWZ02039772	chr21,7521
chrUn_AAWZ02039221	chr1,25142
chrUn_AAWZ02039773	chr21,22674
chrUn_AAWZ02039544	chr4,34354
chrUn_AAWZ02040446	chr4,22375,chr10,7474
chrUn_AAWZ02037611	chr13,39020
chrUn_AAWZ02037610	chr1,28392
chrUn_AAWZ02037612	chr21,45201
chrUn_AAWZ02037617	chr8,22384
chrUn_AAWZ02037616	chrUn_random,111586
chrUn_AAWZ02037619	chr10,20738
chrUn_AAWZ02037618	chrZ,125639
chrUn_AAWZ02039090	chr19,40174
chrUn_GL343444	chr10,1276541
chrUn_GL343445	chr22,1049013,chr6,2860,chr3,2310
chrUn_AAWZ02035619	chr20,26422
chrUn_GL343447	chr4,1776842
chrUn_GL343440	chr8,373473,chr6,7247
chrUn_GL343441	chr11,488403
chrUn_GL343442	chr1,46623,chr3,27828,chr2,23510,chrUn_random,23376,chr6,12134,chr13,10739,chrZ,7407
chrUn_GL343443	chr6,296557,chrUn_random,56935,chr4,55845,chr1,9214
chrUn_GL343448	chr13,717709
chrUn_GL343449	chr2,544619,chr1,41592,chrUn_random,9372
chrUn_AAWZ02039541	chr17,13818
chrUn_AAWZ02040697	chr17,70194
chrUn_AAWZ02040696	chr28,20069
chrUn_AAWZ02041504	chr5,10143
chrUn_AAWZ02039867	chr19,43249
chrUn_AAWZ02037411	chr19,69096
chrUn_AAWZ02039818	chr6,73854
chrUn_AAWZ02041503	chrZ,26732
chrUn_AAWZ02039815	chr8,85753
chrUn_AAWZ02039814	chr28,90025,chr2,4839,chr9,3954,chr1,3154,chrZ,2783
chrUn_AAWZ02039817	chr3,17471
chrUn_AAWZ02039816	chr7,15640
chrUn_AAWZ02039810	chr2,10200
chrUn_AAWZ02039813	chr2,9603
chrUn_AAWZ02039812	chr2,28558
chrUn_AAWZ02041642	chr11,40222
chrUn_AAWZ02041645	chr1,11642
chrUn_GL345072	chr4,35456
chrUn_GL345077	chr3,12240
chrUn_GL344973	chr17,49341,chrUn_random,27054,chr22,7018
chrUn_GL343592	chr14,409033
chrUn_GL343593	chr3,351822,chr13,31943,chr2,25715,chr20,16272,chr1,8316
chrUn_GL343590	chr2,20743,chrUn_random,14266,chr16,9812,chr1,6905,chr5,3326
chrUn_GL343591	chr14,1196397
chrUn_GL343596	chr8,129980
chrUn_GL343597	chr4,73790,chrUn_random,43752
chrUn_GL343594	chr23,158564
chrUn_GL343595	chr4,641897,chr13,24193,chrUn_random,10096
chrUn_GL343598	chr4,200044,chr3,8972
chrUn_GL343599	chr4,2042221
chrUn_AAWZ02039659	chr19,15106
chrUn_AAWZ02040740	chr23,8756
chrUn_AAWZ02040743	chr14,25397
chrUn_AAWZ02040744	chr5,34514
chrUn_AAWZ02040747	chr28,10868
chrUn_AAWZ02040746	chr5,7992
chrUn_AAWZ02040749	chr3,14165
chrUn_AAWZ02040748	chr24,29973
chrUn_GL344861	chr5,40795
chrUn_AAWZ02038705	chr1,30447
chrUn_GL344401	chr27,92896,chr14,75158
chrUn_AAWZ02039617	chr21,50855
chrUn_GL343628	chr1,801694
chrUn_GL343629	chr21,1291495
chrUn_GL344400	chr28,140562
chrUn_GL343624	chr22,1190566
chrUn_GL343625	chr17,773244
chrUn_GL343626	chrUn_random,191992,chr1,20555,chr18,10301
chrUn_GL343627	chr5,880554,chr3,3650
chrUn_GL343620	chr2,437392,chr1,28773,chrUn_random,7376
chrUn_GL343621	chr14,635189,chr15,40415,chr17,19166,chr19,15552
chrUn_GL343622	chr4,716791
