chrUn_AAWZ02040322	chr17,37864,chr5,15600,chr13,12924
chrUn_AAWZ02040326	chr11,22860
chrUn_AAWZ02040329	chr1,7067
chrUn_AAWZ02036383	chr6,42007
chrUn_AAWZ02038674	chr4,64014
chrUn_AAWZ02038670	chr12,11064
chrUn_AAWZ02038671	chr1,21403
chrUn_AAWZ02038074	chr11,13377
chrUn_AAWZ02038075	chr7,14438
chrUn_AAWZ02038342	chr7,42878
chrUn_AAWZ02040959	chr2,9465
chrUn_AAWZ02036709	chr18,64749,chr2,31107
chrUn_AAWZ02039071	chr2,34147
chrUn_AAWZ02039070	chr17,13585,chr3,3310
chrUn_AAWZ02039077	chr3,35993
chrUn_AAWZ02039076	chr22,28706
chrUn_AAWZ02039075	chr11,9890
chrUn_AAWZ02039439	chr3,9152
chrUn_AAWZ02039078	chr12,7942
chrUn_AAWZ02039659	chr17,8999
chrUn_AAWZ02037195	chr1,8122
chrUn_AAWZ02038706	chr1,11755,chr6,2287
chrUn_AAWZ02038707	chr12,14865,chr20,3355
chrUn_AAWZ02036563	chr19,7367
chrUn_AAWZ02039653	chr3,10064
chrUn_AAWZ02038709	chr11,14665
chrUn_AAWZ02039657	chr6,10616
chrUn_AAWZ02037949	chr19,128931
chrUn_AAWZ02037948	chr7,16971
chrUn_AAWZ02036144	chr2,11424
chrUn_AAWZ02036413	chr8,15195
chrUn_AAWZ02036143	chr19,132041,chr4,2702,chr8,2343,chr9,2177,chr20,2014
chrUn_AAWZ02039570	chr11,6943
chrUn_GL344534	chr3,17421
chrUn_AAWZ02037942	chr19,29103
chrUn_AAWZ02041342	chr19,7475
chrUn_AAWZ02038573	chr6,16410
chrUn_GL345122	chr9,11605
chrUn_AAWZ02039257	chr9,30624
chrUn_AAWZ02040215	chr19,51328
chrUn_AAWZ02039254	chr15,12087
chrUn_AAWZ02039252	chr16,24097
chrUn_GL344350	chr2,58098
chrUn_AAWZ02040218	chr2,16620
chrUn_AAWZ02037385	chr6,18675
chrUn_GL344600	chr17,34717
